turn_id,response_id,t0,t1,t2,t3,t4,t5,total_ms,cache_status,speech_provider
1,0,126649.2695518,126649.2798108,126649.3043027,126649.3188741,126649.3293684,126649.3518657,82.3138999985531,cold,Rime
2,0,126649.3556538,126649.3672952,126649.3851991,126649.3982658,126649.4046232,126649.4118781,56.22430000221357,warm,Rime
3,0,126649.4128661,126649.4196784,126649.4273659,126649.4466069,126649.4701019,126649.4876296,74.76350000069942,warm,Rime
4,0,126649.4896645,126649.4951834,126649.5093036,126649.5330149,126649.5499941,126649.5560094,66.34489999851212,warm,Rime
5,0,126649.5575883,126649.5584121,126649.5719614,126649.5787292,126649.5857282,126649.5926626,35.07430000172462,warm,Rime
6,0,126649.6015537,126649.6155954,126649.6354041,126649.6519327,126649.667581,126649.6834963,81.94259999436326,warm,Rime
1,0,127499.073259,127499.1021551,127499.1205977,127499.1369302,127499.1593372,127499.184862,111.60299999755807,cold,Rime
2,0,127499.1877406,127499.1945939,127499.2091749,127499.224708,127499.2504686,127499.2616105,73.86990000668447,warm,Rime
3,0,127499.2629299,127499.2891067,127499.2957266,127499.3059163,127499.314975,127499.3306645,67.73460000113118,warm,Rime
4,0,127499.3318981,127499.3402098,127499.3493481,127499.3566292,127499.3675131,127499.382697,50.798899988876656,warm,Rime
5,0,127499.3840666,127499.3932516,127499.4002655,127499.408755,127499.424497,127499.4367663,52.69969999790192,warm,Rime
6,0,127499.4384101,127499.4486311,127499.4575738,127499.4729121,127499.4935772,127499.5123905,73.980399989523,warm,Rime
